Order ID,Date,Customer ID,Customer Name,Product ID,Product Name,Unit Price,Quantity,Total
1001,2024-04-01,C1001,John Doe,P1001,Laptop,1200,2,2400
1002,2024-04-02,C1002,Jane Smith,P1002,Smartphone,800,3,2400
1003,2024-04-03,C1003,Michael Johnson,P1003,Tablet,500,1,500
1004,2024-04-04,C1004,Susan Lee,P1004,Headphones,100,5,500
1005,2024-04-05,C1005,David Brown,P1005,Desk Lamp,50,2,100
1006,2024-04-06,C1006,Sarah Wilson,P1006,Printer,300,1,300
1007,2024-04-07,C1007,Chris Taylor,P1007,External Hard Drive,150,2,300
1008,2024-04-08,C1008,Emily Martinez,P1008,Mouse,20,3,60
1009,2024-04-09,C1009,Amy Thompson,P1009,Keyboard,50,2,100
1010,2024-04-10,C1010,Robert Harris,P1010,Monitor,400,1,400
1011,2024-04-11,C1011,Samantha Wilson,P1011,Chair,150,2,300
1012,2024-04-12,C1012,Andrew Clark,P1012,Notebook,10,5,50
1013,2024-04-13,C1013,Olivia Davis,P1013,Backpack,30,3,90
1014,2024-04-14,C1014,William Taylor,P1014,Water Bottle,5,10,50
1015,2024-04-15,C1015,Ethan Anderson,P1015,Plant,20,2,40
